2026-09-17T13:57:55 [INFO] infra.pg_client | PostgreSQL 연결 완료 (schema: sysmaster)
2026-09-17T13:57:55 [INFO] engine.orchestrator | ============================================================
2026-09-17T13:57:55 [INFO] engine.orchestrator | 지하공동구 이상감지 엔진 시작 (도메인별 독립 평가 및 즉시 API 알림)
2026-09-17T13:57:55 [INFO] engine.orchestrator | ============================================================
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] data: {'1-1': {'current': 795.0, 'rise_per_min': -0.97}, '10-10': {'current': 793.0, 'rise_per_min': -4.84}, '50-100': {'current': 28.1, 'rise_per_min': -0.1}, '1-101': {'current': 52.8, 'rise_per_min': 0.48}, '2-102': {'current': 52.6, 'rise_per_min': -0.29}, '3-103': {'current': 52.4, 'rise_per_min': 0.0}, '4-104': {'current': 52.2, 'rise_per_min': -0.68}, '5-105': {'current': 52.4, 'rise_per_min': 0.1}, '6-106': {'current': 52.5, 'rise_per_min': -0.19}, '7-107': {'current': 52.6, 'rise_per_min': -0.48}, '8-108': {'current': 52.6, 'rise_per_min': 0.29}, '9-109': {'current': 52.5, 'rise_per_min': -0.48}, '11-11': {'current': 806.0, 'rise_per_min': 5.81}, '10-110': {'current': 52.4, 'rise_per_min': -0.39}, '11-111': {'current': 52.2, 'rise_per_min': -0.39}, '12-112': {'current': 52.1, 'rise_per_min': -0.39}, '13-113': {'current': 52.7, 'rise_per_min': 0.39}, '14-114': {'current': 52.1, 'rise_per_min': -0.1}, '15-115': {'current': 52.7, 'rise_per_min': 0.29}, '16-116': {'current': 52.7, 'rise_per_min': 0.48}, '17-117': {'current': 52.5, 'rise_per_min': 0.1}, '18-118': {'current': 52.2, 'rise_per_min': -0.1}, '19-119': {'current': 53.0, 'rise_per_min': -0.1}, '12-12': {'current': 803.0, 'rise_per_min': 4.84}, '20-120': {'current': 52.5, 'rise_per_min': 0.1}, '21-121': {'current': 52.9, 'rise_per_min': 0.77}, '22-122': {'current': 52.8, 'rise_per_min': 0.0}, '23-123': {'current': 53.1, 'rise_per_min': 0.48}, '24-124': {'current': 53.0, 'rise_per_min': 0.0}, '25-125': {'current': 52.4, 'rise_per_min': -0.58}, '26-126': {'current': 53.0, 'rise_per_min': 0.19}, '27-127': {'current': 53.0, 'rise_per_min': 0.48}, '28-128': {'current': 52.3, 'rise_per_min': -0.58}, '29-129': {'current': 52.7, 'rise_per_min': -0.29}, '13-13': {'current': 805.0, 'rise_per_min': 7.74}, '30-130': {'current': 53.0, 'rise_per_min': 0.77}, '31-131': {'current': 52.5, 'rise_per_min': -0.48}, '32-132': {'current': 52.7, 'rise_per_min': 0.19}, '33-133': {'current': 52.9, 'rise_per_min': 0.68}, '34-134': {'current': 52.7, 'rise_per_min': 0.29}, '35-135': {'current': 53.0, 'rise_per_min': 0.77}, '36-136': {'current': 53.1, 'rise_per_min': 0.68}, '37-137': {'current': 52.1, 'rise_per_min': -0.29}, '38-138': {'current': 52.1, 'rise_per_min': -0.68}, '39-139': {'current': 52.8, 'rise_per_min': 0.48}, '14-14': {'current': 801.0, 'rise_per_min': 0.97}, '40-140': {'current': 52.1, 'rise_per_min': -0.68}, '41-141': {'current': 53.0, 'rise_per_min': 0.39}, '42-142': {'current': 52.1, 'rise_per_min': -0.19}, '43-143': {'current': 52.8, 'rise_per_min': 0.0}, '44-144': {'current': 52.5, 'rise_per_min': 0.19}, '45-145': {'current': 52.5, 'rise_per_min': -0.1}, '46-146': {'current': 52.2, 'rise_per_min': -0.58}, '47-147': {'current': 52.3, 'rise_per_min': -0.77}, '48-148': {'current': 52.6, 'rise_per_min': -0.48}, '49-149': {'current': 53.1, 'rise_per_min': 0.77}, '15-15': {'current': 804.0, 'rise_per_min': 7.74}, '50-150': {'current': 52.6, 'rise_per_min': -0.48}, '1-151': {'current': 10.2, 'rise_per_min': 0.1}, '2-152': {'current': 10.0, 'rise_per_min': -0.1}, '3-153': {'current': 10.0, 'rise_per_min': -0.1}, '4-154': {'current': 10.1, 'rise_per_min': 0.0}, '5-155': {'current': 10.1, 'rise_per_min': 0.0}, '6-156': {'current': 10.0, 'rise_per_min': 0.0}, '7-157': {'current': 10.1, 'rise_per_min': 0.1}, '8-158': {'current': 10.0, 'rise_per_min': -0.1}, '9-159': {'current': 10.0, 'rise_per_min': 0.0}, '16-16': {'current': 796.0, 'rise_per_min': -0.97}, '10-160': {'current': 10.2, 'rise_per_min': 0.0}, '11-161': {'current': 10.1, 'rise_per_min': 0.1}, '12-162': {'current': 10.1, 'rise_per_min': 0.0}, '13-163': {'current': 10.1, 'rise_per_min': 0.0}, '14-164': {'current': 10.1, 'rise_per_min': 0.0}, '15-165': {'current': 10.0, 'rise_per_min': -0.1}, '16-166': {'current': 10.2, 'rise_per_min': 0.1}, '17-167': {'current': 10.2, 'rise_per_min': 0.1}, '18-168': {'current': 10.1, 'rise_per_min': -0.1}, '19-169': {'current': 10.2, 'rise_per_min': 0.1}, '17-17': {'current': 793.0, 'rise_per_min': -8.71}, '20-170': {'current': 10.1, 'rise_per_min': 0.0}, '21-171': {'current': 10.1, 'rise_per_min': 0.1}, '23-173': {'current': 10.1, 'rise_per_min': -0.1}, '24-174': {'current': 10.2, 'rise_per_min': 0.1}, '25-175': {'current': 10.1, 'rise_per_min': 0.1}, '26-176': {'current': 10.2, 'rise_per_min': 0.0}, '27-177': {'current': 10.1, 'rise_per_min': 0.0}, '28-178': {'current': 10.0, 'rise_per_min': 0.0}, '29-179': {'current': 10.1, 'rise_per_min': -0.1}, '18-18': {'current': 798.0, 'rise_per_min': -2.9}, '30-180': {'current': 10.2, 'rise_per_min': 0.19}, '31-181': {'current': 10.1, 'rise_per_min': 0.1}, '32-182': {'current': 10.1, 'rise_per_min': -0.1}, '33-183': {'current': 10.1, 'rise_per_min': -0.1}, '34-184': {'current': 10.1, 'rise_per_min': 0.0}, '35-185': {'current': 10.0, 'rise_per_min': -0.1}, '36-186': {'current': 10.2, 'rise_per_min': 0.0}, '37-187': {'current': 10.1, 'rise_per_min': -0.1}, '38-188': {'current': 10.2, 'rise_per_min': 0.1}, '39-189': {'current': 10.1, 'rise_per_min': 0.0}, '19-19': {'current': 807.0, 'rise_per_min': 13.55}, '40-190': {'current': 10.0, 'rise_per_min': -0.1}, '41-191': {'current': 10.2, 'rise_per_min': 0.19}, '42-192': {'current': 10.0, 'rise_per_min': -0.1}, '43-193': {'current': 10.1, 'rise_per_min': 0.0}, '44-194': {'current': 10.2, 'rise_per_min': 0.0}, '45-195': {'current': 10.1, 'rise_per_min': -0.1}, '46-196': {'current': 10.2, 'rise_per_min': 0.0}, '47-197': {'current': 10.1, 'rise_per_min': 0.0}, '48-198': {'current': 10.1, 'rise_per_min': 0.0}, '49-199': {'current': 10.2, 'rise_per_min': 0.1}, '2-2': {'current': 794.0, 'rise_per_min': -3.87}, '20-20': {'current': 798.0, 'rise_per_min': -4.84}, '50-200': {'current': 10.0, 'rise_per_min': 0.0}, '1-201': {'current': 20.88, 'rise_per_min': 0.12}, '2-202': {'current': 20.94, 'rise_per_min': 0.09}, '3-203': {'current': 21.03, 'rise_per_min': 0.15}, '4-204': {'current': 20.88, 'rise_per_min': 0.12}, '5-205': {'current': 21.03, 'rise_per_min': 0.09}, '6-206': {'current': 20.83, 'rise_per_min': 0.05}, '7-207': {'current': 21.04, 'rise_per_min': 0.15}, '8-208': {'current': 20.77, 'rise_per_min': 0.06}, '9-209': {'current': 21.02, 'rise_per_min': -0.07}, '21-21': {'current': 801.0, 'rise_per_min': 1.94}, '10-210': {'current': 20.95, 'rise_per_min': 0.21}, '11-211': {'current': 20.84, 'rise_per_min': -0.08}, '12-212': {'current': 21.08, 'rise_per_min': 0.2}, '13-213': {'current': 20.84, 'rise_per_min': 0.06}, '14-214': {'current': 20.84, 'rise_per_min': -0.23}, '15-215': {'current': 20.88, 'rise_per_min': -0.15}, '16-216': {'current': 21.09, 'rise_per_min': 0.37}, '17-217': {'current': 20.79, 'rise_per_min': -0.18}, '18-218': {'current': 20.76, 'rise_per_min': 0.06}, '19-219': {'current': 20.75, 'rise_per_min': -0.25}, '22-22': {'current': 803.0, 'rise_per_min': 7.74}, '20-220': {'current': 21.11, 'rise_per_min': 0.17}, '21-221': {'current': 20.83, 'rise_per_min': 0.1}, '22-222': {'current': 20.9, 'rise_per_min': 0.08}, '23-223': {'current': 21.07, 'rise_per_min': 0.15}, '24-224': {'current': 20.94, 'rise_per_min': 0.14}, '25-225': {'current': 20.94, 'rise_per_min': 0.12}, '26-226': {'current': 20.93, 'rise_per_min': 0.04}, '27-227': {'current': 20.7, 'rise_per_min': -0.15}, '28-228': {'current': 20.77, 'rise_per_min': -0.09}, '29-229': {'current': 20.74, 'rise_per_min': 0.04}, '23-23': {'current': 802.0, 'rise_per_min': -2.9}, '30-230': {'current': 21.03, 'rise_per_min': -0.07}, '31-231': {'current': 20.97, 'rise_per_min': -0.01}, '32-232': {'current': 21.02, 'rise_per_min': 0.3}, '33-233': {'current': 20.95, 'rise_per_min': 0.14}, '34-234': {'current': 20.72, 'rise_per_min': -0.1}, '35-235': {'current': 21.11, 'rise_per_min': 0.06}, '36-236': {'current': 20.71, 'rise_per_min': -0.16}, '37-237': {'current': 21.04, 'rise_per_min': 0.01}, '38-238': {'current': 21.09, 'rise_per_min': 0.18}, '39-239': {'current': 20.93, 'rise_per_min': 0.22}, '24-24': {'current': 798.0, 'rise_per_min': 0.0}, '40-240': {'current': 21.0, 'rise_per_min': 0.01}, '41-241': {'current': 21.02, 'rise_per_min': 0.05}, '42-242': {'current': 20.73, 'rise_per_min': -0.11}, '43-243': {'current': 20.82, 'rise_per_min': 0.03}, '44-244': {'current': 21.08, 'rise_per_min': 0.24}, '45-245': {'current': 20.72, 'rise_per_min': -0.02}, '46-246': {'current': 21.01, 'rise_per_min': 0.08}, '47-247': {'current': 20.75, 'rise_per_min': -0.05}, '48-248': {'current': 20.7, 'rise_per_min': -0.01}, '49-249': {'current': 20.74, 'rise_per_min': -0.03}, '25-25': {'current': 808.0, 'rise_per_min': 7.74}, '50-250': {'current': 20.79, 'rise_per_min': -0.23}, '1-251': {'current': 0.1, 'rise_per_min': 0.0}, '2-252': {'current': 0.1, 'rise_per_min': 0.0}, '3-253': {'current': 0.1, 'rise_per_min': 0.0}, '4-254': {'current': 0.1, 'rise_per_min': 0.0}, '5-255': {'current': 0.1, 'rise_per_min': 0.0}, '6-256': {'current': 0.1, 'rise_per_min': 0.0}, '7-257': {'current': 0.1, 'rise_per_min': 0.0}, '8-258': {'current': 0.1, 'rise_per_min': 0.0}, '9-259': {'current': 0.1, 'rise_per_min': 0.0}, '26-26': {'current': 804.0, 'rise_per_min': 4.84}, '10-260': {'current': 0.1, 'rise_per_min': 0.0}, '11-261': {'current': 0.1, 'rise_per_min': 0.0}, '12-262': {'current': 0.1, 'rise_per_min': 0.0}, '13-263': {'current': 0.1, 'rise_per_min': 0.0}, '14-264': {'current': 0.1, 'rise_per_min': 0.0}, '15-265': {'current': 0.1, 'rise_per_min': 0.0}, '16-266': {'current': 0.1, 'rise_per_min': 0.0}, '17-267': {'current': 0.1, 'rise_per_min': 0.0}, '18-268': {'current': 0.1, 'rise_per_min': 0.0}, '19-269': {'current': 0.1, 'rise_per_min': 0.0}, '27-27': {'current': 800.0, 'rise_per_min': -2.9}, '20-270': {'current': 0.1, 'rise_per_min': 0.0}, '21-271': {'current': 0.1, 'rise_per_min': 0.0}, '22-272': {'current': 0.1, 'rise_per_min': 0.0}, '23-273': {'current': 0.1, 'rise_per_min': 0.0}, '24-274': {'current': 0.1, 'rise_per_min': 0.0}, '25-275': {'current': 0.1, 'rise_per_min': 0.0}, '26-276': {'current': 0.1, 'rise_per_min': 0.0}, '27-277': {'current': 0.1, 'rise_per_min': 0.0}, '28-278': {'current': 0.1, 'rise_per_min': 0.0}, '29-279': {'current': 0.1, 'rise_per_min': 0.0}, '28-28': {'current': 793.0, 'rise_per_min': -0.97}, '30-280': {'current': 0.1, 'rise_per_min': 0.0}, '31-281': {'current': 0.1, 'rise_per_min': 0.0}, '32-282': {'current': 0.1, 'rise_per_min': 0.0}, '33-283': {'current': 0.1, 'rise_per_min': 0.0}, '34-284': {'current': 0.1, 'rise_per_min': 0.0}, '35-285': {'current': 0.1, 'rise_per_min': 0.0}, '36-286': {'current': 0.1, 'rise_per_min': 0.0}, '37-287': {'current': 0.1, 'rise_per_min': 0.0}, '38-288': {'current': 0.1, 'rise_per_min': 0.0}, '39-289': {'current': 0.1, 'rise_per_min': 0.0}, '29-29': {'current': 797.0, 'rise_per_min': -10.65}, '40-290': {'current': 0.1, 'rise_per_min': 0.0}, '41-291': {'current': 0.1, 'rise_per_min': 0.0}, '42-292': {'current': 0.1, 'rise_per_min': 0.0}, '43-293': {'current': 0.1, 'rise_per_min': 0.0}, '44-294': {'current': 0.1, 'rise_per_min': 0.0}, '45-295': {'current': 0.1, 'rise_per_min': 0.0}, '46-296': {'current': 0.1, 'rise_per_min': 0.0}, '47-297': {'current': 0.1, 'rise_per_min': 0.0}, '48-298': {'current': 0.1, 'rise_per_min': 0.0}, '49-299': {'current': 0.1, 'rise_per_min': 0.0}, '3-3': {'current': 799.0, 'rise_per_min': 1.94}, '30-30': {'current': 803.0, 'rise_per_min': -2.9}, '50-300': {'current': 0.1, 'rise_per_min': 0.0}, '1-301': {'current': 1007.0, 'rise_per_min': 7.74}, '2-302': {'current': 990.0, 'rise_per_min': -13.55}, '3-303': {'current': 1003.0, 'rise_per_min': 4.84}, '4-304': {'current': 1003.0, 'rise_per_min': -0.97}, '5-305': {'current': 996.0, 'rise_per_min': -12.58}, '6-306': {'current': 1004.0, 'rise_per_min': 0.0}, '7-307': {'current': 1004.0, 'rise_per_min': 0.97}, '8-308': {'current': 1005.0, 'rise_per_min': 10.65}, '9-309': {'current': 1007.0, 'rise_per_min': 0.97}, '31-31': {'current': 795.0, 'rise_per_min': -11.61}, '10-310': {'current': 1005.0, 'rise_per_min': 11.61}, '11-311': {'current': 1000.0, 'rise_per_min': 0.0}, '12-312': {'current': 1001.0, 'rise_per_min': 6.77}, '13-313': {'current': 1005.0, 'rise_per_min': 11.61}, '14-314': {'current': 1008.0, 'rise_per_min': 15.48}, '15-315': {'current': 1007.0, 'rise_per_min': -0.97}, '16-316': {'current': 995.0, 'rise_per_min': -7.74}, '17-317': {'current': 996.0, 'rise_per_min': 3.87}, '18-318': {'current': 996.0, 'rise_per_min': 4.84}, '19-319': {'current': 1008.0, 'rise_per_min': 14.52}, '32-32': {'current': 802.0, 'rise_per_min': -5.81}, '20-320': {'current': 1000.0, 'rise_per_min': 9.68}, '21-321': {'current': 999.0, 'rise_per_min': -7.74}, '22-322': {'current': 997.0, 'rise_per_min': -6.77}, '23-323': {'current': 997.0, 'rise_per_min': 1.94}, '24-324': {'current': 1004.0, 'rise_per_min': -4.84}, '25-325': {'current': 1006.0, 'rise_per_min': 13.55}, '26-326': {'current': 994.0, 'rise_per_min': -13.55}, '27-327': {'current': 1005.0, 'rise_per_min': -2.9}, '28-328': {'current': 994.0, 'rise_per_min': 2.9}, '29-329': {'current': 1004.0, 'rise_per_min': 0.0}, '33-33': {'current': 803.0, 'rise_per_min': 7.74}, '30-330': {'current': 1007.0, 'rise_per_min': 9.68}, '31-331': {'current': 1008.0, 'rise_per_min': 2.9}, '32-332': {'current': 1008.0, 'rise_per_min': 9.68}, '33-333': {'current': 998.0, 'rise_per_min': -0.97}, '34-334': {'current': 1006.0, 'rise_per_min': 0.0}, '35-335': {'current': 1008.0, 'rise_per_min': 12.58}, '36-336': {'current': 1004.0, 'rise_per_min': -5.81}, '37-337': {'current': 1009.0, 'rise_per_min': 5.81}, '38-338': {'current': 1004.0, 'rise_per_min': -3.87}, '39-339': {'current': 1006.0, 'rise_per_min': 4.84}, '34-34': {'current': 800.0, 'rise_per_min': -7.74}, '40-340': {'current': 997.0, 'rise_per_min': 4.84}, '41-341': {'current': 999.0, 'rise_per_min': 3.87}, '42-342': {'current': 1001.0, 'rise_per_min': -2.9}, '43-343': {'current': 999.0, 'rise_per_min': 8.71}, '44-344': {'current': 1002.0, 'rise_per_min': -4.84}, '45-345': {'current': 995.0, 'rise_per_min': -10.65}, '46-346': {'current': 1004.0, 'rise_per_min': 2.9}, '47-347': {'current': 993.0, 'rise_per_min': -3.87}, '48-348': {'current': 1007.0, 'rise_per_min': 1.94}, '49-349': {'current': 1008.0, 'rise_per_min': 1.94}, '35-35': {'current': 806.0, 'rise_per_min': 6.77}, '50-350': {'current': 1002.0, 'rise_per_min': 7.74}, '36-36': {'current': 798.0, 'rise_per_min': 4.84}, '37-37': {'current': 808.0, 'rise_per_min': 2.9}, '38-38': {'current': 797.0, 'rise_per_min': -7.74}, '39-39': {'current': 806.0, 'rise_per_min': 12.58}, '4-4': {'current': 799.0, 'rise_per_min': -9.68}, '40-40': {'current': 808.0, 'rise_per_min': 10.65}, '41-41': {'current': 799.0, 'rise_per_min': 3.87}, '42-42': {'current': 807.0, 'rise_per_min': 1.94}, '43-43': {'current': 798.0, 'rise_per_min': 1.94}, '44-44': {'current': 800.0, 'rise_per_min': 3.87}, '45-45': {'current': 801.0, 'rise_per_min': 6.77}, '46-46': {'current': 804.0, 'rise_per_min': 4.84}, '47-47': {'current': 795.0, 'rise_per_min': -0.97}, '48-48': {'current': 807.0, 'rise_per_min': 0.97}, '49-49': {'current': 802.0, 'rise_per_min': -0.97}, '5-5': {'current': 796.0, 'rise_per_min': -5.81}, '50-50': {'current': 801.0, 'rise_per_min': 1.94}, '1-51': {'current': 27.9, 'rise_per_min': -0.39}, '2-52': {'current': 28.2, 'rise_per_min': 0.1}, '3-53': {'current': 28.2, 'rise_per_min': 0.29}, '4-54': {'current': 28.0, 'rise_per_min': 0.29}, '5-55': {'current': 28.2, 'rise_per_min': 0.29}, '6-56': {'current': 27.7, 'rise_per_min': -0.48}, '7-57': {'current': 28.2, 'rise_per_min': 0.1}, '8-58': {'current': 27.8, 'rise_per_min': -0.48}, '9-59': {'current': 28.0, 'rise_per_min': 0.1}, '6-6': {'current': 803.0, 'rise_per_min': 7.74}, '10-60': {'current': 27.8, 'rise_per_min': -0.19}, '11-61': {'current': 28.2, 'rise_per_min': 0.1}, '12-62': {'current': 28.0, 'rise_per_min': -0.19}, '13-63': {'current': 28.2, 'rise_per_min': 0.39}, '14-64': {'current': 27.7, 'rise_per_min': -0.39}, '15-65': {'current': 27.9, 'rise_per_min': 0.1}, '16-66': {'current': 27.9, 'rise_per_min': -0.19}, '17-67': {'current': 27.9, 'rise_per_min': -0.1}, '18-68': {'current': 28.1, 'rise_per_min': 0.1}, '19-69': {'current': 27.7, 'rise_per_min': -0.19}, '7-7': {'current': 807.0, 'rise_per_min': 6.77}, '20-70': {'current': 28.0, 'rise_per_min': 0.19}, '21-71': {'current': 28.3, 'rise_per_min': 0.48}, '22-72': {'current': 28.1, 'rise_per_min': -0.1}, '23-73': {'current': 28.0, 'rise_per_min': 0.29}, '24-74': {'current': 28.1, 'rise_per_min': 0.29}, '25-75': {'current': 27.7, 'rise_per_min': -0.58}, '26-76': {'current': 27.9, 'rise_per_min': 0.1}, '27-77': {'current': 27.8, 'rise_per_min': 0.0}, '28-78': {'current': 27.9, 'rise_per_min': -0.29}, '29-79': {'current': 28.2, 'rise_per_min': 0.39}, '8-8': {'current': 803.0, 'rise_per_min': 3.87}, '30-80': {'current': 27.9, 'rise_per_min': -0.29}, '31-81': {'current': 27.8, 'rise_per_min': -0.39}, '32-82': {'current': 28.3, 'rise_per_min': 0.29}, '33-83': {'current': 27.8, 'rise_per_min': 0.0}, '34-84': {'current': 27.9, 'rise_per_min': -0.29}, '35-85': {'current': 27.7, 'rise_per_min': -0.19}, '36-86': {'current': 28.1, 'rise_per_min': -0.19}, '37-87': {'current': 27.9, 'rise_per_min': 0.19}, '38-88': {'current': 28.1, 'rise_per_min': 0.29}, '39-89': {'current': 27.9, 'rise_per_min': -0.29}, '9-9': {'current': 807.0, 'rise_per_min': -0.97}, '40-90': {'current': 28.0, 'rise_per_min': 0.1}, '41-91': {'current': 28.0, 'rise_per_min': 0.29}, '42-92': {'current': 28.3, 'rise_per_min': 0.48}, '43-93': {'current': 27.8, 'rise_per_min': -0.1}, '44-94': {'current': 28.2, 'rise_per_min': 0.19}, '45-95': {'current': 28.2, 'rise_per_min': 0.19}, '46-96': {'current': 28.1, 'rise_per_min': -0.1}, '47-97': {'current': 28.1, 'rise_per_min': -0.1}, '48-98': {'current': 27.9, 'rise_per_min': 0.19}, '49-99': {'current': 27.9, 'rise_per_min': 0.1}}
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-01-CO2(S000000003) - CO2: 0.0795% (임계 L1:5.0, L2:10.0, L3:30.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-10-CO2(S000000039) - CO2: 0.0793% (임계 L1:5.0, L2:10.0, L3:30.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스센서 G-50-Temp(S000000681) - 온도: 28.1℃ (임계 L2:60.0, L3:75.0) / 분당상승: -0.1℃ (임계 L1:8.0)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-11-CO2(S000000043) - CO2: 0.0806% (임계 L1:5.0, L2:10.0, L3:30.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-12-CO2(S000000047) - CO2: 0.0803% (임계 L1:5.0, L2:10.0, L3:30.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-13-CO2(S000000051) - CO2: 0.0805% (임계 L1:5.0, L2:10.0, L3:30.0 이상)
